name,category,description
sj-core-catalog,core,"Choose the right Steve Jobs operating skill and sequence. Use when the user asks for a Steve Jobs lens, Jobs-style critique, simplification, product craft, launch thinking, hiring bar, failure review, or does not know which sj skill to use."
sj-core-compound-learning,core,"Capture 1-3 approved Jobs-derived lessons into a durable project learning store. Use after a product review, launch, hiring decision, strategy session, failure autopsy, or skill chain produced reusable operating knowledge."
sj-core-learning-refresh,core,"Audit saved Steve Jobs learning notes for stale, duplicate, generic, contradictory, or low-confidence guidance. Use when maintaining docs/steve-jobs/learnings/ or preparing SJ learnings for reuse."
sj-product-make-something-wonderful,product,"Raise ambition, care, usefulness, and emotional quality. Use when a product, app, feature, artifact, essay, or plan is technically adequate but needs more taste, care, humanity, or wonder."
sj-product-customer-backwards,product,"Start from the user experience and work back to technology. Use when a proposal starts with technology, implementation, model choice, architecture, or features before naming the customer experience."
sj-product-bicycle-for-the-mind,product,"Frame tools as human leverage rather than machinery. Use when explaining a tool, computer, AI system, app, or workflow as an amplifier of human ability."
sj-product-liberal-arts-technology,product,"Connect engineering with taste, story, culture, and emotion. Use when a product feels technically competent but culturally thin, emotionally flat, or disconnected from human meaning."
sj-product-speaks-for-itself,product,"Remove design that requires explanation to make sense. Use when a UI, onboarding, demo, flow, or feature depends on presenter explanation, docs, tooltips, or apologetic copy."
sj-product-design-is-how-it-works,product,"Judge design by behavior, not surface styling. Use when reviewing UI, UX, product design, service design, or architecture where function and experience matter more than decoration."
sj-product-simplify-to-one,product,"Reduce a product, path, message, or priority set to one clear thing. Use when something feels bloated, over-explained, committee-shaped, split across too many messages, features, users, paths, or owners."
sj-product-simple-stick,product,"Challenge undistilled, winding, or overcomplicated thinking. Use when a proposal, interface, explanation, or plan rambles, hides weak thinking in complexity, or needs sharper directness."
sj-product-hack-away-unessential,product,"Remove anything that does not serve the core experience. Use when a feature list, workflow, roadmap, or design needs pruning, deferral, merging, or sharper tradeoffs."
sj-product-speed-as-feature,product,"Choose speed or responsiveness as a product rule. Use when performance, latency, waiting, loading, build speed, or workflow drag may be the defining product experience."
sj-product-apple-experience-audit,product,"Audit every touchpoint as a trust deposit or withdrawal. Use when reviewing customer support, onboarding, purchase, install, trial, docs, error states, packaging, retail, or any end-to-end experience."
sj-product-back-of-cabinet-quality,product,"Care about hidden quality even when users may not see it. Use when evaluating code quality, architecture, invisible UX, manufacturing, internal tools, naming, docs, or polish behind the surface."
sj-product-taste-review,product,"Use judgment where metrics and committees are not enough. Use when a design, name, interface, launch, or product choice needs taste, restraint, and coherent judgment rather than only data."
sj-product-pixel-polish,product,"Review the artifact at detail level and improve finish. Use when a visual interface, presentation, landing page, demo, or artifact needs detailed polish and exactness."
sj-product-no-second-rate-products,product,"Identify mediocrity and force a higher standard. Use when a product line, feature, design, or plan has acceptable-but-not-great parts that should be cut, remade, or clarified."
sj-product-beautiful-object-standard,product,"Ask whether the thing deserves to exist as an object. Use when judging hardware, apps, documents, interfaces, tools, names, or experiences as crafted objects people should want to use."
sj-product-telegraph-to-telephone,product,"Turn expert complexity into everyday usability. Use when simplifying technical, command-line, AI, developer, enterprise, or professional tools for ordinary users."
sj-product-founder-workbench,product,"Demystify reality by making and inspecting things directly. Use when a founder, builder, or agent is too abstract and needs to touch the materials, prototype, code, customer flow, or real artifact."
sj-product-reputation-credits,product,"Treat each interaction as adding or withdrawing trust. Use when auditing quality, support, onboarding, performance, reliability, messaging, or any customer contact point."
sj-product-skepticism-hierarchy,product,"Sort objections by signal, source, and importance. Use when feedback conflicts, critics disagree, or a product team needs to know which objections matter."
sj-product-raw-work-no-filters,product,"Get decision makers close to the actual artifact. Use when layers, summaries, decks, managers, or process prevent leaders from seeing the real product, code, design, or customer issue."
sj-product-creative-selection,product,"Run a concrete demo-driven iteration loop. Use when a product, feature, interface, prototype, pitch, or design needs artifact-based review instead of abstract discussion."
sj-product-concrete-artifact-review,product,"Force decisions around visible work rather than ideas. Use when the conversation is stuck in hypotheticals and needs a screen, draft, prototype, patch, diagram, or demo."
sj-ive-design-story,ive,"Find the product's design story before debating features. Use when an artifact feels like disconnected features, lacks meaning, or needs a human metaphor for how it enters daily life."
